field_name**,description**,data_type**,personally_identifiable_variable,required,max_allowed_value,min_allowed_value,variable_unit,allowed_values,allowed_values_description,is_authentic_source
Langue_FR,"Niveau de connaissance de la langue francaise (A / B / C) déclaré par le demandeur d'emploi, selon le cadre européen pour les langues (CECR)",String,true,false,,,,"[A,B,C]","[A=élémentaire,B=indépendant,C=expérimenté]",false
Langue_LB,"Niveau de connaissance de la langue luxembourgeoise (A / B / C) déclaré par le demandeur d'emploi, selon le cadre européen pour les langues (CECR)",String,true,false,,,,"[A,B,C]","[A=élémentaire,B=indépendant,C=expérimenté]",false
Langue_DE,"Niveau de connaissance de la langue allemande (A / B / C) déclaré par le demandeur d'emploi, selon le cadre européen pour les langues (CECR)",String,true,false,,,,"[A,B,C]","[A=élémentaire,B=indépendant,C=expérimenté]",false
Langue_EN,"Niveau de connaissance de la langue anglaise (A / B / C) déclaré par le demandeur d'emploi, selon le cadre européen pour les langues (CECR)",String,true,false,,,,"[A,B,C]","[A=élémentaire,B=indépendant,C=expérimenté]",false
Langues_Autres,Consolidation des autres connaissances de langues déclarées par le demandeur d'emploi,String,true,false,,,,,,false
Mobilite,Situation de mobilité déclarée du demandeur d'emploi,String,true,true,,,,"[Excellente (permis A, B et véhicule personnel), Moyenne (permis B mais pas de voiture disponible ou utilisation de transports en communs), Limitée (pas de voiture et pas de transports en commun disponible), Limitée pour des raisons psychiques et/ou physiques (durée de trajet restreinte)]",,false
Permis,Consolidation de tous les permis de conduire du demandeur d'emploi,String,true,false,,,,"[A, A1, A2, ADR, AM, B, BE, C, CE, C1, C1E, D, DE, D1, D1E, E, F]","[A=Motocycle et tricycle, A1=Motocycle léger et tricycle, A2=Motocycle, ADR=Transport dangereux, AM=Cyclomoteur et quadricycle léger, B=Auto, BE=Auto avec remorque, C=Camion (>3,5t), CE=Camion avec remorque, C1= Petit camion (<7,5t), C1E=Petit camion avec remoque, D=Autobus, DE=Autobus avec remoque, D1=Minibus (max 16p), D1E=Minibus avec remoque, E=Remorque ou semi-remorque, F=Tracteur]",false
Temps_De_Travail,"Temps de travail souhaité par le demandeur d'emploi (complet, partiel…)",String,true,true,,,,"[Temps complet, Temps partiel, Sans préférence]",,false
Horaire_Journalier,"Horaires de travail souhaitées par le demandeur d'emploi (matin, après-midi, etc.)",String,true,true,,,,"[Après-midi,Après-midi et Soir,Flexible,Matin,Matin et Après-midi, Matin et Soir,Soir]",,false
Nbr_Heure_Semaine,Nombre d'heures de travail par semaine souhaitées par le demandeur d'emploi,Integer,true,true,40.0,0.0,heures,,,false
