id,t,sensor3
5,9,-0.76252078
5,10,-0.76095005
5,11,-0.7554525
5,12,-0.7464208
5,13,-0.73385497
5,14,-0.71618426
5,15,-0.69615746
5,16,-0.68162822
5,17,-0.67573798
5,18,-0.67377457
5,19,-0.67024043
5,20,-0.66277946
5,21,-0.65610386
5,22,-0.65492582
5,23,-0.65728191
5,24,-0.6686697
5,25,-0.67848676
5,26,-0.67652334
5,27,-0.64235998
5,28,-0.55557718
5,29,-0.44444808
5,30,-0.35413114
5,31,-0.32271655
5,32,-0.32271655
5,33,-0.40517985
5,34,-0.55950401
5,35,-0.65767459
5,36,-0.70165501
5,37,-0.71107939
5,38,-0.69772819
5,39,-0.68948186
5,40,-0.70047697
5,41,-0.70833061
5,42,-0.71029403
5,43,-0.68791113
5,44,-0.63725511
5,45,-0.55989669
5,46,-0.4483749
5,47,-0.32664338
5,48,-0.28344832
5,49,-0.28737514
6,0,-0.54048606
6,1,-0.52418155
6,2,-0.52418155
6,3,-0.53640994
6,4,-0.56290477
6,5,-0.58858438
6,6,-0.59429095
6,7,-0.5926605
6,8,-0.58532347
6,9,-0.57227986
6,10,-0.55719819
6,11,-0.54048606
6,12,-0.5160293
6,13,-0.49157253
6,14,-0.47934414
6,15,-0.47526802
6,16,-0.47526802
6,17,-0.47934414
6,18,-0.49157253
6,19,-0.50787704
6,20,-0.52418155
6,21,-0.54374697
6,22,-0.55352967
6,23,-0.55475251
6,24,-0.54700787
6,25,-0.52418155
6,26,-0.49157253
6,27,-0.46303963
6,28,-0.43450674
6,29,-0.40189771
6,30,-0.37744094
6,31,-0.36113643
6,32,-0.36113643
6,33,-0.36113643
6,34,-0.38151707
6,35,-0.41004997
6,36,-0.42635448
6,37,-0.43450674
6,38,-0.43450674
6,39,-0.38966933
6,40,-0.32037515
6,41,-0.24700485
6,42,-0.21847195
6,43,-0.24700485
6,44,-0.27961387
6,45,-0.27553774
6,46,-0.18993905
6,47,-0.018741677
6,48,0.14022732
6,49,0.22174988
7,0,-0.50260978
7,1,-0.52026184
7,2,-0.54968193
7,3,-0.58498603
7,4,-0.62617415
7,5,-0.65559424
7,6,-0.67913031
7,7,-0.68501433
7,8,-0.69089835
7,9,-0.68501433
7,10,-0.68501433
7,11,-0.6732463
7,12,-0.65559424
7,13,-0.63205817
7,14,-0.6085221
7,15,-0.57910201
7,16,-0.54379791
7,17,-0.50260978
7,18,-0.46142166
7,19,-0.41434952
7,20,-0.37904541
7,21,-0.35550934
7,22,-0.34374131
7,23,-0.34374131
7,24,-0.34374131
7,25,-0.35550934
7,26,-0.37904541
7,27,-0.4084655
7,28,-0.45553764
7,29,-0.50260978
7,30,-0.54379791
7,31,-0.573218
7,32,-0.59087005
7,33,-0.59675407
7,34,-0.59675407
7,35,-0.59675407
7,36,-0.58498603
7,37,-0.54968193
7,38,-0.49672577
7,39,-0.43788559
7,40,-0.37904541
7,41,-0.3084372
7,42,-0.23782899
7,43,-0.16133676
7,44,-0.10249658
7,45,-0.067192478
7,46,-0.055424443
7,47,-0.078960513
7,48,-0.19664087
7,49,-0.24959703
8,0,-0.83931832
8,1,-0.82754314
8,2,-0.80713282
8,3,-0.77887238
8,4,-0.74590186
8,5,-0.71175383
8,6,-0.67878332
8,7,-0.65013037
8,8,-0.63089757
8,9,-0.62265494
8,10,-0.62108492
8,11,-0.62147743
8,12,-0.62265494
8,13,-0.62343996
8,14,-0.62304745
8,15,-0.62147743
8,16,-0.62069241
8,17,-0.62069241
8,18,-0.62226244
8,19,-0.62343996
8,20,-0.62265494
8,21,-0.61598234
8,22,-0.59596453
8,23,-0.55867645
8,24,-0.50882817
8,25,-0.45623235
8,26,-0.40520656
8,27,-0.35810582
8,28,-0.31885521
8,29,-0.2796046
8,30,-0.24035399
8,31,-0.20110338
8,32,-0.1579277
8,33,-0.12652721
8,34,-0.10690191
8,35,-0.099051787
8,36,-0.099051787
8,37,-0.10297685
8,38,-0.11867709
8,39,-0.1579277
8,40,-0.20110338
8,41,-0.23250387
8,42,-0.24427905
8,43,-0.24820411
8,44,-0.25605423
8,45,-0.24820411
8,46,-0.23642893
8,47,-0.29922991
8,48,-0.32278027
8,49,-0.28352966
9,0,-0.77761138
9,1,-0.77417256
9,2,-0.77038985
9,3,-0.76591939
9,4,-0.75904175
9,5,-0.74975693
9,6,-0.73737718
9,7,-0.72121473
9,8,-0.70505227
9,9,-0.69576746
9,10,-0.69370417
9,11,-0.69404805
9,12,-0.69783075
9,13,-0.7064278
9,14,-0.71708814
9,15,-0.72499743
9,16,-0.7294679
9,17,-0.73153119
9,18,-0.73221895
9,19,-0.73221895
9,20,-0.73118731
9,21,-0.72637296
9,22,-0.71502485
9,23,-0.69714299
9,24,-0.67547842
9,25,-0.65278221
9,26,-0.63111764
9,27,-0.61323578
9,28,-0.60119991
9,29,-0.59638556
9,30,-0.59535391
9,31,-0.59672944
9,32,-0.60257543
9,33,-0.61220413
9,34,-0.62320835
9,35,-0.63421258
9,36,-0.64005857
9,37,-0.64040245
9,38,-0.6280227
9,39,-0.60532649
9,40,-0.56853111
9,41,-0.54445937
9,42,-0.54514714
9,43,-0.56543618
9,44,-0.58744462
9,45,-0.58882015
9,46,-0.56062183
9,47,-0.49528425
9,48,-0.42134961
9,49,-0.38008377
10,0,-0.66418565
10,1,-0.6393778
10,2,-0.60111486
10,3,-0.54351021
10,4,-0.4762347
10,5,-0.4341875
10,6,-0.42157335
10,7,-0.42157335
10,8,-0.42998279
10,9,-0.45100638
10,10,-0.48464414
10,11,-0.50987245
10,12,-0.52669133
10,13,-0.54351021
10,14,-0.55612436
