age,position,minutes_in_game,appearances,minutes_played_home,minutes_played_away,minutes_on_bench,appearances_home,appearances_away,penalty_goals,goals_home,goals_away,penalty_misses,yellow_cards_overall,red_cards_overall,penalty_attempts,penalty_goals
27,Defender,2325.5,29,926,933,466.5,14,15,0,0,0,0,2,0,0,0
37,Goalkeeper,4300.0,40,1720,1720,860.0,20,20,0,0,0,0,1,0,0,0
28,Defender,88.0,3,73,10,5.0,2,1,0,1,0,0,1,0,0,0
33,Goalkeeper,713.0,9,293,280,140.0,5,4,0,0,0,0,0,0,0,0
31,Defender,4300.0,40,1720,1720,860.0,20,20,0,0,0,0,9,0,0,0
23,Defender,25.0,2,10,10,5.0,1,1,0,0,0,0,0,0,0,0
21,Defender,64.0,4,10,36,18.0,1,3,0,0,0,0,0,0,0,0
21,Forward,119.5,3,10,73,36.5,1,2,0,0,0,0,0,0,0,0
26,Defender,1150.0,12,460,460,230.0,6,6,0,0,0,0,1,0,0,0
32,Midfielder,1179.0,20,504,450,225.0,10,10,0,0,1,0,4,0,0,0
28,Midfielder,2737.0,36,970,1178,589.0,17,19,0,0,1,0,5,0,0,0
25,Defender,2155.0,24,1000,770,385.0,12,12,0,0,0,0,4,0,0,0
26,Midfielder,3569.5,38,1480,1393,696.5,19,19,0,2,5,0,3,0,0,0
29,Goalkeeper,3580.0,34,1405,1450,725.0,17,17,0,0,0,0,0,0,0,0
28,Midfielder,1795.5,29,735,707,353.5,12,17,1,4,1,0,0,0,1,1
37,Goalkeeper,25.0,2,10,10,5.0,1,1,0,0,0,0,0,0,0,0
23,Forward,25.0,2,10,10,5.0,1,1,0,0,0,0,0,0,0,0
32,Defender,4232.5,40,1720,1675,837.5,20,20,0,0,0,0,0,0,0,0
40,Defender,1462.0,16,544,612,306.0,7,9,0,0,0,0,2,0,0,0
24,Defender,486.0,8,201,190,95.0,5,3,0,0,0,0,1,0,0,0
20,Midfielder,478.0,12,277,134,67.0,7,5,0,0,0,0,0,0,0,0
26,Defender,2507.0,29,1034,982,491.0,15,14,0,3,1,0,4,0,0,0
23,Forward,25.0,2,10,10,5.0,1,1,0,0,0,0,0,0,0,0
22,Midfielder,187.0,5,16,114,57.0,2,3,0,0,0,0,0,0,0,0
29,Forward,3165.5,32,1334,1221,610.5,16,16,1,5,9,1,3,0,2,1
26,Defender,3176.5,33,1468,1139,569.5,18,15,0,2,0,0,9,0,0,0
21,Defender,25.0,2,10,10,5.0,1,1,0,0,0,0,0,0,0,0
29,Defender,191.0,5,176,10,5.0,4,1,0,0,0,0,0,0,0,0
35,Midfielder,325.0,9,130,130,65.0,5,4,0,0,0,0,0,0,0,0
